time/iterations,rollout/ep_len_mean,rollout/ep_rew_mean,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/n_updates,train/approx_kl,train/loss,train/learning_rate,train/clip_range,train/std,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/entropy_loss
21,88.45454545454545,-13.262618,2688,209,12,0.25390625,200,0.032451767,-0.04214055836200714,0.0003,0.2,1.002724528312683,-2.1942193508148193,-0.034538091160357,0.020549198030494153,-14.223326301574707
22,118.6086956521739,-14.388893,2816,209,13,0.24765625,210,0.02673551,-0.03603731095790863,0.0003,0.2,1.0013463497161865,0.9392575398087502,-0.03134736949577928,0.006887965620262548,-14.207995128631591
23,118.6086956521739,-14.388893,2944,209,14,0.04921875,220,0.013737592,0.246913343667984,0.0003,0.2,1.0010405778884888,-0.3189457654953003,-0.02488411506637931,1.388642853498459,-14.199177265167236
24,118.6086956521739,-14.388893,3072,209,14,0.09140625,230,0.019532893,-0.04207935184240341,0.0003,0.2,1.0016111135482788,0.8175756186246872,-0.018105510715395214,0.0371782882604748,-14.200156736373902
25,131.91666666666666,-14.822689,3200,209,15,0.12421875,240,0.018018756,-0.03381587564945221,0.0003,0.2,1.00137197971344,-0.07544493675231934,-0.01452290010638535,0.04543709116987884,-14.204545783996583
26,131.91666666666666,-14.822689,3328,210,15,0.16171875,250,0.029230466,0.5712830424308777,0.0003,0.2,1.0007315874099731,0.5054498314857483,-0.028834238089621066,1.1114650934934616,-14.197847080230712
27,131.91666666666666,-14.822689,3456,210,16,0.1234375,260,0.01816604,-0.0199651550501585,0.0003,0.2,1.0009706020355225,0.9470720328390598,-0.017968298634514213,0.016905027395114302,-14.195833778381347
28,131.91666666666666,-14.822689,3584,210,17,0.18984375,270,0.029483814,-0.04715469107031822,0.0003,0.2,1.0020956993103027,0.9911185540258884,-0.02500004032626748,0.010172796226106584,-14.199713754653931
29,131.91666666666666,-14.822689,3712,209,17,0.20859375,280,0.02905346,-0.0247954074293375,0.0003,0.2,1.0014146566390991,0.9280787482857704,-0.01690025399439037,0.0013031678245170042,-14.207597589492797
30,131.91666666666666,-14.822689,3840,210,18,0.17265625,290,0.030327141,-0.013207879848778248,0.0003,0.2,1.0016705989837646,-0.6368906497955322,-0.016031746566295624,0.04355704435147345,-14.200095176696777
31,131.91666666666666,-14.822689,3968,210,18,0.078125,300,0.015991965,-0.0247149970382452,0.0003,0.2,1.0019323825836182,0.46485114097595215,-0.011822448531165718,0.38090734872967,-14.205643510818481
