time/time_elapsed,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,train/clip_fraction,train/std,train/explained_variance,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/entropy_loss,train/loss,train/approx_kl,train/clip_range
15,-5.1855054,3328,13,217,136.45833333333334,0.0,1.0040085315704346,-0.006113648414611816,120,-0.0023031064309179785,0.0003,356.6419981002808,-14.227982115745544,214.7291259765625,0.0011374641,0.2
16,-5.312592,3584,14,217,139.36,0.07421875,1.0060598850250244,-0.04894673824310303,130,-0.014047866594046355,0.0003,1.8936802849173546,-14.236604380607606,0.633872926235199,0.013102001,0.2
17,-5.3748026,3840,15,217,143.19230769230768,0.199609375,1.011656641960144,0.557086706161499,140,-0.02021741643548012,0.0003,1.0662932300940156,-14.27214756011963,0.054076384752988815,0.01978414,0.2
18,-5.784912,4096,16,217,138.31034482758622,0.14609375,1.016163945198059,0.8102588802576065,150,-0.027072111051529645,0.0003,0.5684320257976652,-14.325626397132874,0.3332256078720093,0.016342554,0.2
20,-5.8825555,4352,17,217,137.93333333333334,0.076953125,1.0163699388504028,0.2004711627960205,160,-0.016367443348281087,0.0003,4.752964049577713,-14.351820588111877,1.3423855304718018,0.013017874,0.2
21,-5.939485,4608,18,217,141.61290322580646,0.087890625,1.0170592069625854,-0.09196746349334717,170,-0.018160063598770648,0.0003,1.6471250668168067,-14.35078501701355,0.8946282267570496,0.013063532,0.2
22,-5.9194603,4864,19,217,149.59375,0.138671875,1.0183979272842407,0.6806279718875885,180,-0.026051797228865324,0.0003,0.6073827704414725,-14.361310052871705,0.21712341904640198,0.017024877,0.2
23,-2.9349751,5120,20,217,145.02941176470588,0.1046875,1.018744945526123,0.771806925535202,190,-0.020828190795145928,0.0003,0.6398044694215059,-14.372231459617614,0.09858403354883194,0.013632981,0.2
24,-3.4365873,5376,21,217,144.24324324324326,0.0,1.018906831741333,0.06685519218444824,200,-0.004460316675249487,0.0003,338.72523126602175,-14.374333548545838,60.160762786865234,0.001512304,0.2
25,-3.4365873,5632,22,217,144.24324324324326,0.05703125,1.0192670822143555,0.28972601890563965,210,-0.01902510734507814,0.0003,6.379241532087326,-14.376120686531067,2.6600348949432373,0.013774701,0.2
27,-0.87755996,5888,23,217,146.33333333333334,0.124609375,1.0222641229629517,0.7617102712392807,220,-0.022295455588027834,0.0003,0.14743825234472752,-14.388866686820984,-0.039374466985464096,0.01764308,0.2
28,-1.0912279,6144,24,217,149.25,0.0,1.023207664489746,0.04943782091140747,230,7.269433699548244e-05,0.0003,327.17448434829714,-14.41478054523468,99.26960754394531,0.00054362696,0.2
