time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,time/iterations,rollout/ep_rew_mean,train/explained_variance,train/clip_fraction,train/value_loss,train/loss,train/clip_range,train/std,train/n_updates,train/approx_kl,train/entropy_loss,train/learning_rate,train/policy_gradient_loss
5888,26,120.10204081632654,224,23,-12.117571,0.3107384443283081,0.125,2.5365794777870176,0.8657016158103943,0.2,1.013737440109253,220,0.019112803,-14.323889923095702,0.0003,-0.020817619934678077
6144,27,117.07692307692308,224,24,-12.03314,0.6360171437263489,0.225390625,0.5832788340747357,0.11870919167995453,0.2,1.014068841934204,230,0.021954603,-14.320101928710937,0.0003,-0.02958803001092747
6400,28,116.2,224,25,-12.708155,0.0714232325553894,0.053515625,2.7692780643701553,1.1110605001449585,0.2,1.0141042470932007,240,0.013354659,-14.323823690414429,0.0003,-0.011800533405039459
6656,29,115.80357142857143,224,26,-13.401303,0.0612870454788208,0.0,55.36519466638565,35.93748092651367,0.2,1.014203667640686,250,0.0013692041,-14.323766112327576,0.0003,-0.004272271867375821
6912,30,118.57894736842105,224,27,-13.475963,0.11068093776702881,0.00703125,49.90849070549011,19.165884017944336,0.2,1.0143382549285889,260,0.0050993836,-14.32482714653015,0.0003,-0.00727800001623109
7168,31,117.37704918032787,224,28,-13.345822,0.8846779614686966,0.019921875,0.9249707520008087,0.13408416509628296,0.2,1.0154829025268555,270,0.00767526,-14.329253768920898,0.0003,-0.007667218148708343
7424,33,119.64516129032258,224,29,-13.419805,0.634891152381897,0.121875,0.6521892316639424,0.15839213132858276,0.2,1.0147790908813477,280,0.01731753,-14.33639645576477,0.0003,-0.022314887167885898
7680,34,117.58461538461539,224,30,-11.601999,0.9443721361458302,0.122265625,0.2268475076649338,-0.03554347902536392,0.2,1.0139048099517822,290,0.01073923,-14.32512137889862,0.0003,-0.021302603650838137
7936,35,117.58461538461539,224,31,-11.601999,0.012734949588775635,0.0,378.2071252822876,176.28366088867188,0.2,1.013712763786316,300,0.00070970505,-14.319078135490418,0.0003,0.0010203017853200435
8192,36,117.58461538461539,224,32,-11.601999,0.9087193682789803,0.169921875,0.15885995931457728,-0.02460172399878502,0.2,1.0137603282928467,310,0.017114509,-14.319382405281067,0.0003,-0.027190099563449623
8448,37,123.19117647058823,224,33,-11.93924,-0.035733819007873535,0.234375,0.08652310627512634,-0.03378463536500931,0.2,1.0139360427856445,320,0.02302745,-14.318828344345093,0.0003,-0.027829078771173955
8704,38,124.2,224,34,-12.025047,0.7844484597444534,0.22578125,0.9164612233638764,0.2835007309913635,0.2,1.0139856338500977,330,0.022844113,-14.321753025054932,0.0003,-0.03146197476889938
8960,39,125.11267605633803,224,35,-12.0899935,0.5406975746154785,0.159765625,0.7713063027709722,0.2754960358142853,0.2,1.0149273872375488,340,0.012246958,-14.32391815185547,0.0003,-0.020499019813723863
9216,41,125.06849315068493,223,36,-12.076738,0.9515933133661747,0.19375,0.16292277332395316,0.012439735233783722,0.2,1.0141366720199585,350,0.012858158,-14.330044078826905,0.0003,-0.028449064143933354
9472,42,126.0,223,37,-12.079486,0.7707380950450897,0.1578125,0.4420666042715311,0.07647442817687988,0.2,1.0144851207733154,360,0.015302846,-14.324069809913635,0.0003,-0.029349275026470424
9728,43,125.84210526315789,223,38,-12.063837,0.9663004167377949,0.1328125,0.1660215312615037,0.07148728519678116,0.2,1.014048457145691,370,0.012570062,-14.325966739654541,0.0003,-0.018049131880979986
9984,44,127.06493506493507,223,39,-12.068231,0.5396557748317719,0.05234375,1.2387809775769711,0.18630418181419373,0.2,1.0134698152542114,380,0.009931908,-14.321471452713013,0.0003,-0.015835894865449517
10240,45,129.24358974358975,223,40,-12.1423435,0.894728533923626,0.097265625,0.22788105271756648,0.024684133008122444,0.2,1.0151946544647217,390,0.012127886,-14.325229406356812,0.0003,-0.017699628602713346
10496,46,130.45,223,41,-12.154088,0.9344479143619537,0.07421875,0.17133480366319417,0.008981883525848389,0.2,1.0168383121490479,400,0.012067239,-14.345739650726319,0.0003,-0.011205843591596931
10752,48,130.4878048780488,223,42,-12.147688,0.9253851398825645,0.1484375,0.31013509910553694,0.04168110713362694,0.2,1.0145847797393799,410,0.0123806745,-14.343530249595641,0.0003,-0.02762755136936903
11008,49,127.75581395348837,223,43,-12.067079,0.8542884886264801,0.19296875,0.4650675468146801,0.101219542324543,0.2,1.0159202814102173,420,0.027091054,-14.335304737091064,0.0003,-0.028655938617885113
11264,50,127.75581395348837,223,44,-12.067079,0.15295296907424927,0.065234375,3.657403439283371,1.6906169652938843,0.2,1.017002820968628,430,0.01390209,-14.34778139591217,0.0003,-0.015957330260425805
11520,51,130.6590909090909,223,45,-12.174117,0.8589441180229187,0.105859375,0.20660088777076452,-0.02555115893483162,0.2,1.0183343887329102,440,0.012534165,-14.359776139259338,0.0003,-0.018210272851865737
