time/fps,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,time/iterations,rollout/ep_len_mean,train/explained_variance,train/entropy_loss,train/value_loss,train/n_updates,train/approx_kl,train/learning_rate,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/loss,train/std
225,254,57344,-13.493503,28,200.0,0.35363268852233887,-14.182915312051772,5.229053727351129,270,0.011871226,0.0003,-0.010232536280818749,0.10009765625,0.2,11.889086723327637,1.0006288290023804
225,263,59392,-13.767278,29,217.42,0.8640935271978378,-14.18985595703125,0.15136610839981585,280,0.01155799,0.0003,-0.011659519400564023,0.114404296875,0.2,0.011985406279563904,1.0011308193206787
225,272,61440,-14.697039,30,231.68,0.9446752294898033,-14.173468056321145,0.13305444036377595,290,0.01131713,0.0003,-0.012462845297704916,0.117626953125,0.2,0.015455098822712898,0.9972563982009888
225,281,63488,-15.963793,31,246.68,0.5897352993488312,-14.14095360338688,4.1444056201959025,300,0.009512703,0.0003,-0.005882190429110779,0.0919921875,0.2,4.163868427276611,0.9943225979804993
225,290,65536,-17.182966,32,258.84,0.18206971883773804,-14.126001289486885,9.071355346776546,310,0.0073944507,0.0003,-0.005134620596072637,0.0828125,0.2,1.246673822402954,0.9941717386245728
225,299,67584,-18.072037,33,276.52,0.6425111889839172,-14.109997859597206,9.14051309376955,320,0.009687124,0.0003,-0.009029602994269225,0.07998046875,0.2,1.0857164859771729,0.9901493191719055
225,308,69632,-18.81353,34,284.3,0.6586004197597504,-14.082296687364579,4.895579399121925,330,0.011397786,0.0003,-0.009695860846841242,0.1208984375,0.2,7.7242045402526855,0.9892452955245972
225,317,71680,-20.218643,35,292.0,0.7595187127590179,-14.055381327867508,4.077793077612296,340,0.01196057,0.0003,-0.009086423653207021,0.123095703125,0.2,0.20996570587158203,0.9861243367195129
225,326,73728,-22.188091,36,298.21,0.6214594841003418,-14.047015279531479,10.175671958364546,350,0.009234648,0.0003,-0.010289698593260255,0.090966796875,0.2,4.676819801330566,0.987585186958313
226,335,75776,-23.412294,37,291.44,0.7704850137233734,-14.058847257494927,6.346214495040476,360,0.010545757,0.0003,-0.008440881669957889,0.101025390625,0.2,1.2888367176055908,0.988010585308075
226,344,77824,-24.132881,38,277.45,0.7449428737163544,-14.0689118206501,9.389750788453966,370,0.0102247745,0.0003,-0.0069818694486457385,0.092041015625,0.2,3.324965476989746,0.9892607927322388
226,353,79872,-23.4889,39,264.8,0.7738504856824875,-14.074689829349518,0.8652660949621349,380,0.015810844,0.0003,-0.010908074560575187,0.169384765625,0.2,0.46337392926216125,0.9904049038887024
226,362,81920,-21.195433,40,239.03,0.7559297531843185,-14.120196342468262,0.7281899760244415,390,0.011597891,0.0003,-0.005630484659923241,0.131298828125,0.2,0.300159215927124,0.9967105984687805
226,371,83968,-19.88034,41,218.79,0.04582023620605469,-14.140883174538612,39.04705857541412,400,0.005857271,0.0003,-0.005969434998405632,0.048779296875,0.2,18.379961013793945,0.9960445165634155
226,380,86016,-16.491549,42,197.76,0.578853189945221,-14.13626719713211,0.42764797564595936,410,0.015167899,0.0003,-0.011193441112118308,0.1525390625,0.2,0.07997563481330872,0.995832085609436
226,389,88064,-15.689807,43,191.27,0.15476763248443604,-14.135567769408226,37.09404183141887,420,0.007110526,0.0003,-0.004783153074822621,0.07177734375,0.2,0.7213404774665833,0.995681643486023
226,398,90112,-14.741171,44,198.15,0.850735679268837,-14.139888668060303,0.1573479931568727,430,0.011546001,0.0003,-0.007978701715182978,0.122021484375,0.2,0.03713336959481239,0.9963032007217407
226,407,92160,-14.376186,45,202.67,0.7548282146453857,-14.15827543437481,0.20620928767602892,440,0.0135570755,0.0003,-0.012709449233079794,0.16416015625,0.2,0.0010656006634235382,0.9996889233589172
226,416,94208,-13.251953,46,206.93,0.8593177795410156,-14.174239468574523,0.18173461721744388,450,0.015365229,0.0003,-0.014602871644092375,0.182861328125,0.2,0.05314374715089798,0.9992810487747192
226,425,96256,-10.069935,47,188.86,0.750633955001831,-14.184997284412384,0.3442542735254392,460,0.016194783,0.0003,-0.015498592364019714,0.1775390625,0.2,0.08150000870227814,1.002199649810791
226,434,98304,-9.964031,48,187.39,-0.03940427303314209,-14.207227313518525,43.885915176942945,470,0.009320505,0.0003,-0.008894212942686863,0.0740234375,0.2,37.21202087402344,1.0029407739639282
226,443,100352,-11.3388405,49,195.01,0.5468290150165558,-14.221081867814064,0.34329592080321164,480,0.01374599,0.0003,-0.017247248576313722,0.152392578125,0.2,0.08592149615287781,1.0051891803741455
