time/total_timesteps,time/fps,rollout/ep_rew_mean,time/iterations,time/time_elapsed,rollout/ep_len_mean,train/policy_gradient_loss,train/entropy_loss,train/explained_variance,train/n_updates,train/approx_kl,train/value_loss,train/clip_fraction,train/learning_rate,train/clip_range,train/std,train/loss
53248,227,-12.373563,26,234,195.76,-0.014921324093302246,-14.392081221938133,0.844609946012497,250,0.012081636,0.5554807304404676,0.134765625,0.0003,0.2,1.0223782062530518,0.04811689257621765
55296,227,-12.914948,27,243,216.54,-0.013002692451118491,-14.428593999147415,0.5004738569259644,260,0.0146914115,5.54995782894257,0.169580078125,0.0003,0.2,1.0276463031768799,0.10978440195322037
57344,227,-13.473978,28,252,230.85,-0.012033160868304549,-14.462753647565842,0.8126892894506454,270,0.01265001,0.25579766812734306,0.1296875,0.0003,0.2,1.0302516222000122,0.04356297105550766
59392,227,-13.82595,29,261,249.15,-0.013534673624963033,-14.456076842546462,0.9422365128993988,280,0.014441429,0.056787254026858136,0.15400390625,0.0003,0.2,1.0276427268981934,-0.012891018763184547
61440,227,-15.295133,30,270,259.56,-0.013168420247529867,-14.475359025597573,0.8480454981327057,290,0.010966416,0.5280375385540538,0.126513671875,0.0003,0.2,1.0338287353515625,0.0810994803905487
63488,227,-15.938157,31,279,277.06,-0.015230790777422953,-14.513011121749878,0.8166426420211792,300,0.011397699,0.4170742613496259,0.14130859375,0.0003,0.2,1.034548044204712,0.045905474573373795
65536,226,-16.411457,32,288,292.0,-0.012248243003705283,-14.501320460438729,0.7390628755092621,310,0.012615005,0.2394598980259616,0.141015625,0.0003,0.2,1.032941460609436,0.00014972127974033356
67584,226,-17.827776,33,297,303.03,-0.008151126061420655,-14.505291843414307,0.2561470866203308,320,0.011194596,5.449318634252995,0.105517578125,0.0003,0.2,1.0355327129364014,5.271927356719971
69632,226,-17.937603,34,306,308.38,-0.012152347374649253,-14.517739725112914,0.7422272562980652,330,0.012062577,0.42971617135917767,0.1390625,0.0003,0.2,1.0341782569885254,0.09605096280574799
71680,226,-16.780994,35,315,308.67,-0.012922050045744982,-14.52764393389225,0.8235607296228409,340,0.0119308885,0.38708755748812107,0.155810546875,0.0003,0.2,1.0378384590148926,0.005367264151573181
73728,226,-17.68349,36,324,310.74,-0.005277465021572425,-14.530214524269104,0.06872868537902832,350,0.008331555,40.64685362875461,0.067236328125,0.0003,0.2,1.0365575551986694,64.04501342773438
75776,226,-17.728415,37,334,319.69,-0.013569958081643563,-14.508625879883766,0.7025103271007538,360,0.010273725,0.8903127140831202,0.130859375,0.0003,0.2,1.0336313247680664,0.2817688286304474
77824,226,-17.308891,38,343,311.22,-0.018734640248294455,-14.516675508022308,0.8493104726076126,370,0.014892076,0.22316068712389098,0.169970703125,0.0003,0.2,1.0395749807357788,0.0168848168104887
79872,226,-17.016956,39,352,302.27,-0.012572629183705431,-14.552235996723175,0.8148653358221054,380,0.012425439,0.38003124106908215,0.1478515625,0.0003,0.2,1.0407450199127197,0.11354479193687439
81920,226,-17.004799,40,361,300.47,-0.013183236010809197,-14.542067459225654,0.8079241216182709,390,0.012945512,0.34861472647171465,0.149609375,0.0003,0.2,1.0387482643127441,0.028741680085659027
83968,226,-17.115606,41,370,286.26,-0.012823128335003275,-14.514921522140503,0.8826198056340218,400,0.010503542,0.13915185434743763,0.14033203125,0.0003,0.2,1.0372459888458252,0.04040360450744629
86016,226,-16.000864,42,379,272.13,-0.014006607203918974,-14.485366895794868,0.8499286770820618,410,0.014456155,0.23226821861462668,0.156591796875,0.0003,0.2,1.0323809385299683,0.11383714526891708
88064,226,-16.213554,43,388,279.64,-0.005991393722433713,-14.488447907567025,0.08690065145492554,420,0.0077418312,40.12376454994082,0.059619140625,0.0003,0.2,1.0351446866989136,12.060530662536621
90112,226,-15.988613,44,397,276.0,-0.00964595452096546,-14.50089048743248,0.8013734966516495,430,0.0095751565,1.245597177091986,0.076904296875,0.0003,0.2,1.0349336862564087,1.055302619934082
92160,226,-13.418668,45,406,270.11,-0.012624049792066216,-14.497021141648293,0.8228045105934143,440,0.0132045895,0.4903269639937207,0.1259765625,0.0003,0.2,1.0338441133499146,0.186954528093338
94208,226,-13.728257,46,415,275.0,-0.005540104889223585,-14.482679337263107,0.3428789973258972,450,0.0062136715,51.59284036904573,0.0318359375,0.0003,0.2,1.032526969909668,36.18075942993164
96256,226,-13.841467,47,424,276.59,-0.014580892966478132,-14.49235372543335,0.6681400537490845,460,0.011580152,0.577260469191242,0.121728515625,0.0003,0.2,1.0359032154083252,-0.024397576227784157
98304,226,-13.961239,48,433,279.68,-0.008720742029254325,-14.508053362369537,0.8546247035264969,470,0.012898962,0.3617008853820153,0.11435546875,0.0003,0.2,1.0362281799316406,0.05499820411205292
