time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/std,train/clip_fraction,rollout/ep_rew_mean,train/value_loss,train/approx_kl,train/explained_variance,rollout/ep_len_mean,train/learning_rate,train/clip_range,train/policy_gradient_loss,train/n_updates,train/loss,train/entropy_loss
8,1728,27,205,0.9500359296798706,0.0328125,-15.0782585,1.078354972600937,0.009298968,0.7735813558101654,138.27272727272728,0.0003,0.2,-0.015363001823425293,2240,0.32914331555366516,-13.619928073883056
8,1792,28,205,0.9500816464424133,0.0,-15.0782585,3.645056366920471,0.0017035473,0.3463329076766968,138.27272727272728,0.0003,0.2,0.0001486564986407757,2250,1.0606621503829956,-13.621612453460694
9,1856,29,205,0.9499915242195129,0.0,-15.0782585,1.3016855239868164,0.0012224512,0.9349038600921631,138.27272727272728,0.0003,0.2,-0.004423653427511454,2260,0.3457294702529907,-13.621450996398925
9,1920,30,205,0.9498716592788696,0.0,-15.0782585,2.167452085018158,0.0022426676,0.35312801599502563,138.27272727272728,0.0003,0.2,-0.008584900945425033,2270,0.4245954751968384,-13.620049667358398
9,1984,31,205,0.9497799873352051,0.00625,-15.073681,3.1772523880004884,0.004915485,-3.7984886169433594,161.83333333333334,0.0003,0.2,-0.01022596275433898,2280,0.5190173983573914,-13.618904876708985
9,2048,32,205,0.9501949548721313,0.003125,-15.073681,0.3450354889035225,0.003983889,0.9028162583708763,161.83333333333334,0.0003,0.2,-0.012041693273931741,2290,0.05079669877886772,-13.619169235229492
10,2112,33,205,0.9505254030227661,0.0,-14.7439,0.38263470083475115,0.0027148137,0.5564370155334473,161.15384615384616,0.0003,0.2,-0.0016584481112658978,2300,0.09634529054164886,-13.624089431762695
10,2176,34,205,0.9507496953010559,0.0078125,-14.7439,1.2400425136089326,0.0035342043,-0.8203468322753906,161.15384615384616,0.0003,0.2,-0.011994883697479964,2310,0.3347950279712677,-13.62512435913086
10,2240,35,205,0.9509741067886353,0.0,-14.475488,7.611520671844483,0.001968299,0.7970087230205536,156.35714285714286,0.0003,0.2,-0.003264089860022068,2320,2.3461828231811523,-13.62784185409546
11,2304,36,205,0.9510558247566223,0.0,-14.475488,11.529956150054932,0.0007076971,-1.9378390312194824,156.35714285714286,0.0003,0.2,-0.00555201880633831,2330,5.27254056930542,-13.629362678527832
11,2368,37,205,0.9510726928710938,0.0,-14.475488,1.8342336416244507,0.0016386509,0.4644845724105835,156.35714285714286,0.0003,0.2,-0.005009289272129536,2340,0.5346454381942749,-13.629973602294921
11,2432,38,205,0.9511593580245972,0.0,-14.475488,6.315548753738403,0.0005949028,0.349126398563385,156.35714285714286,0.0003,0.2,0.0019795937929302453,2350,1.5626336336135864,-13.630459880828857
12,2496,39,205,0.9520971179008484,0.1125,-14.475488,0.1924929790198803,0.022436306,-2.5489158630371094,156.35714285714286,0.0003,0.2,-0.0159126840531826,2360,0.02087019570171833,-13.634616565704345
12,2560,40,205,0.9525786638259888,0.275,-14.475488,0.041662803292274474,0.04055498,0.8620798140764236,156.35714285714286,0.0003,0.2,-0.03937910310924053,2370,-0.051576972007751465,-13.643796253204346
12,2624,41,205,0.9525517225265503,0.1625,-14.475488,0.2262075014412403,0.025198102,-1.830174207687378,156.35714285714286,0.0003,0.2,-0.01648779883980751,2380,0.04291294887661934,-13.643193340301513
13,2688,42,205,0.9525777697563171,0.1921875,-15.30748,0.17066806070506574,0.035429396,-1.876532793045044,177.73333333333332,0.0003,0.2,-0.023824485018849373,2390,0.01227869838476181,-13.643102836608886
13,2752,43,205,0.9525863528251648,0.1734375,-15.30748,4.85068109035492,0.031661373,-0.4374436140060425,177.73333333333332,0.0003,0.2,-0.037640958465635775,2400,1.2817072868347168,-13.642815017700196
13,2816,44,205,0.9525831937789917,0.0,-15.30748,6.50968189239502,0.00021025632,-1.2126877307891846,177.73333333333332,0.0003,0.2,-0.00019272593781352043,2410,2.1681342124938965,-13.64275894165039
14,2880,45,205,0.9526991844177246,0.0,-15.30748,1.188943150639534,0.00024959818,0.015637755393981934,177.73333333333332,0.0003,0.2,-0.0024815475568175315,2420,0.22177070379257202,-13.642907905578614
14,2944,46,205,0.9526965022087097,0.159375,-15.30748,0.12165253516286612,0.034832604,-0.0843421220779419,177.73333333333332,0.0003,0.2,-0.03453548438847065,2430,-0.04553290456533432,-13.645127487182616
14,3008,47,205,0.9515641927719116,0.2234375,-15.327729,0.06858920007944107,0.047732,0.860965684056282,184.625,0.0003,0.2,-0.020361985079944134,2440,-0.015372839756309986,-13.640264415740967
15,3072,48,204,0.9500460624694824,0.0203125,-8.598259,0.4211591713130474,0.0062704887,0.5445455312728882,178.35294117647058,0.0003,0.2,-0.015676775388419627,2450,0.015606008470058441,-13.626420307159425
