time/iterations,time/fps,time/time_elapsed,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/n_updates,train/std,train/explained_variance,train/approx_kl,train/learning_rate
18,227,161,-9.181804,214.14,36864,-14.255951771140099,0.5858367085456848,-0.01958236177015351,0.126904296875,0.2,1.3444504753686488,170,1.0052666664123535,0.002708911895751953,0.013956634,0.0003
19,227,170,-8.459309,207.89,38912,-14.230623868107795,76.37195587158203,-0.0020611273335816803,0.01259765625,0.2,78.18097374420613,180,1.004224419593811,0.20018726587295532,0.0045835096,0.0003
20,227,180,-10.714387,217.96,40960,-14.226414385437966,1.9721641540527344,-0.0035338770700036547,0.02421875,0.2,88.26944990605116,190,1.0041992664337158,0.13584095239639282,0.0063721137,0.0003
21,226,189,-11.071406,225.79,43008,-14.2506805986166,0.14802396297454834,-0.00970012778416276,0.109375,0.2,4.452904954971745,200,1.0081156492233276,0.6338315606117249,0.009981233,0.0003
22,226,199,-12.0816555,241.98,45056,-14.243789494037628,0.11248299479484558,-0.01600667792663444,0.16015625,0.2,0.5850958953611552,210,1.003615140914917,0.8303914666175842,0.015388057,0.0003
23,225,208,-11.991378,237.63,47104,-14.228815346956253,1.4886928796768188,-0.007247592399653513,0.122119140625,0.2,6.359288638457656,220,1.0062977075576782,0.022729158401489258,0.011553071,0.0003
24,225,217,-12.352894,237.96,49152,-14.254618269205093,0.022767802700400352,-0.01415315456688404,0.18779296875,0.2,0.17581272581592203,230,1.0075581073760986,0.8783728256821632,0.016156908,0.0003
25,225,226,-12.5901375,244.9,51200,-14.298083084821702,0.05348454788327217,-0.01478176754899323,0.15126953125,0.2,0.26718475929810664,240,1.0144872665405273,0.8926589339971542,0.012311357,0.0003
26,225,235,-14.786476,249.06,53248,-14.34827380478382,0.11177825182676315,-0.014948599817580543,0.147021484375,0.2,0.2995159198064357,250,1.019034504890442,0.7597603797912598,0.011674825,0.0003
27,225,244,-15.335121,237.36,55296,-14.378047579526902,1.003201961517334,-0.005810135481442558,0.074853515625,0.2,9.905335888732225,260,1.0202014446258545,0.09727776050567627,0.0065249726,0.0003
28,225,254,-15.90414,241.71,57344,-14.380371969938277,0.21389594674110413,-0.016062726732343435,0.151123046875,0.2,0.644479229929857,270,1.0197608470916748,0.7718655616044998,0.013150479,0.0003
29,225,263,-16.121845,248.29,59392,-14.389987736940384,0.17698003351688385,-0.01073552411980927,0.14912109375,0.2,3.788257645629346,280,1.022773027420044,0.532977283000946,0.014118829,0.0003
30,225,272,-17.766983,258.76,61440,-14.376977890729904,0.027808941900730133,-0.014296207363076973,0.13984375,0.2,0.18362710428773427,290,1.0187395811080933,0.9541313089430332,0.011199523,0.0003
31,225,281,-18.130043,262.62,63488,-14.358233070373535,0.07698655873537064,-0.014433633902808652,0.12900390625,0.2,0.19511027559638022,300,1.0181432962417603,0.8812404572963715,0.011778812,0.0003
32,225,291,-17.508373,273.26,65536,-14.384049570560455,0.015547968447208405,-0.012602770532248541,0.13056640625,0.2,0.35652354250196366,310,1.0232162475585938,0.858503520488739,0.012006218,0.0003
