time/iterations,time/time_elapsed,time/fps,time/total_timesteps,rollout/ep_len_mean,rollout/ep_rew_mean,train/n_updates,train/policy_gradient_loss,train/learning_rate,train/clip_range,train/approx_kl,train/entropy_loss,train/std,train/value_loss,train/explained_variance,train/loss,train/clip_fraction
33,298,226,67584,316.25,-23.828314,320,-0.011700204273802228,0.0003,0.2,0.012054143,-14.09370605647564,0.9923981428146362,0.47257735616294666,0.7796905487775803,0.039245571941137314,0.141259765625
34,307,226,69632,263.79,-16.10848,330,-0.011593007291958201,0.0003,0.2,0.010871941,-14.104098334908485,0.9920157194137573,7.253143054991961,0.2543838620185852,0.1878996640443802,0.112353515625
35,316,226,71680,259.22,-15.825976,340,-0.012875147681916133,0.0003,0.2,0.013155699,-14.074832049012183,0.9880945086479187,0.287109979102388,0.8045457303524017,0.03118741512298584,0.138671875
36,325,226,73728,252.67,-15.252494,350,-0.011386866428074427,0.0003,0.2,0.013722204,-14.044311100244522,0.9860936999320984,0.6940027945092879,0.7833312749862671,0.22187814116477966,0.161376953125
37,334,226,75776,259.22,-15.015852,360,-0.011321115800819825,0.0003,0.2,0.012300534,-14.02234006524086,0.9841357469558716,7.681654284708202,0.2276136875152588,1.6665410995483398,0.130419921875
38,343,226,77824,256.72,-14.86857,370,-0.01097358997358242,0.0003,0.2,0.015033547,-14.041938507556916,0.9895345568656921,0.5775675815530121,0.8562487214803696,0.056333910673856735,0.168017578125
39,352,226,79872,261.83,-14.714034,380,-0.016140276107762475,0.0003,0.2,0.012687376,-14.057607647776603,0.9886094331741333,0.26144596009398813,0.8579337894916534,0.1296635866165161,0.13515625
40,361,226,81920,275.69,-15.410701,390,-0.012456901723635384,0.0003,0.2,0.013597366,-14.087241369485856,0.9929535984992981,0.2430113274429459,0.8478066921234131,0.010353747755289078,0.142578125
41,370,226,83968,285.54,-15.738294,400,-0.015780691672989632,0.0003,0.2,0.014300749,-14.091923412680625,0.9923537373542786,0.028787877138529438,0.9582973793148994,-0.035186175256967545,0.16240234375
42,379,226,86016,289.47,-15.791516,410,-0.015597238094778731,0.0003,0.2,0.015069138,-14.107540836930275,0.9948314428329468,0.09953429183224216,0.944886289536953,0.027166476473212242,0.182568359375
43,388,226,88064,294.84,-15.005903,420,-0.011981254308921052,0.0003,0.2,0.01067473,-14.112588852643967,0.9941362142562866,0.1641668956784997,0.8899821266531944,0.03309187293052673,0.122802734375
44,397,226,90112,288.99,-15.269602,430,-0.008589426438265945,0.0003,0.2,0.007302149,-14.113373324275017,0.9946996569633484,35.819722374714914,0.11869996786117554,67.80631256103516,0.065869140625
45,406,226,92160,290.96,-15.4019985,440,-0.011183274087670725,0.0003,0.2,0.010440859,-14.126357260346413,0.9973024129867554,5.89899748894386,0.3588116765022278,7.531273365020752,0.112841796875
46,415,226,94208,302.87,-17.268017,450,-0.015654485269624274,0.0003,0.2,0.016958248,-14.134126272797584,0.9972883462905884,0.09160149230738171,0.908680722117424,0.008682802319526672,0.18369140625
47,424,226,96256,299.31,-16.050386,460,-0.012101405444991543,0.0003,0.2,0.012132619,-14.127756625413895,0.9953204393386841,4.750686035701074,0.664427250623703,6.5204176902771,0.110595703125
48,433,226,98304,301.92,-15.79724,470,-0.0068671979664941315,0.0003,0.2,0.0077242935,-14.115525045990944,0.9960368871688843,32.52326609017327,0.284595251083374,8.095690727233887,0.05830078125
49,442,226,100352,301.21,-14.733404,480,-0.01318462847993942,0.0003,0.2,0.010241279,-14.128561979532241,0.998047947883606,0.8671185881830752,0.8256738632917404,0.3634312152862549,0.1060546875
50,452,226,102400,292.62,-15.860017,490,-0.0056106489544617945,0.0003,0.2,0.0069127693,-14.143780422210693,0.9978395700454712,32.324731707479806,0.4029197692871094,8.254533767700195,0.07626953125
51,461,226,104448,292.49,-15.449945,500,-0.009354620621888899,0.0003,0.2,0.009970068,-14.133768501877785,0.9965581893920898,17.648408254981042,0.20060157775878906,11.715189933776855,0.07724609375
52,470,226,106496,287.18,-14.479511,510,-0.014125045739638154,0.0003,0.2,0.01476343,-14.129944068193435,0.9971319437026978,0.38455833329353484,0.6869578659534454,0.020024020224809647,0.195556640625
53,479,226,108544,267.43,-13.8913965,520,-0.0045905780811153814,0.0003,0.2,0.012111055,-14.146165585517883,0.9994861483573914,41.048176443716514,0.15928971767425537,18.082029342651367,0.11259765625
54,489,226,110592,264.85,-13.778522,530,-0.01176612660783576,0.0003,0.2,0.010948792,-14.157042622566223,0.9995706677436829,4.308410449558869,0.586052417755127,1.6592605113983154,0.11767578125
55,498,226,112640,263.21,-13.813177,540,-0.014035079552559181,0.0003,0.2,0.014828316,-14.123761057853699,0.9938607215881348,0.1332961006090045,0.9209914281964302,-0.005431625992059708,0.18076171875
56,507,226,114688,265.52,-15.004778,550,-0.017482927632227075,0.0003,0.2,0.015246658,-14.06651849448681,0.9888335466384888,0.2341946911183186,0.8685274422168732,0.04646275192499161,0.18720703125
57,516,225,116736,269.27,-13.569396,560,-0.019334697452723048,0.0003,0.2,0.02319463,-14.042056512832641,0.9873414039611816,0.1572860957297962,0.8649225980043411,-0.03131498396396637,0.22978515625
58,525,225,118784,269.78,-13.481953,570,-0.00411695343136671,0.0003,0.2,0.008556118,-14.027358213067055,0.9866080284118652,37.290160082001236,0.004439055919647217,0.21496394276618958,0.08486328125
59,535,225,120832,268.41,-11.865501,580,-0.016006693709641695,0.0003,0.2,0.014643528,-14.021735164523125,0.9860865473747253,0.3097548502963036,0.812821552157402,0.10999873280525208,0.149853515625
60,544,225,122880,275.54,-13.2138405,590,-0.006354436627589166,0.0003,0.2,0.010104177,-14.011213925480842,0.9849826693534851,37.03297930210829,0.11454606056213379,0.653653621673584,0.071484375
61,553,225,124928,273.73,-13.192033,600,-0.014684091477829498,0.0003,0.2,0.016525708,-14.00671561062336,0.9852410554885864,0.549348920234479,0.8808760270476341,0.1022457554936409,0.158642578125
62,562,225,126976,275.78,-13.099649,610,-0.013659512088634074,0.0003,0.2,0.0128908465,-14.008320981264115,0.9848742485046387,0.20443638566648586,0.8736077845096588,0.03707820177078247,0.17685546875
63,571,225,129024,285.47,-12.607813,620,-0.016784748545615003,0.0003,0.2,0.0158738,-13.981199684739114,0.9796077609062195,0.2912031913991086,0.7684741765260696,0.0819103792309761,0.182373046875
64,581,225,131072,293.0,-11.928871,630,-0.0038851601595524697,0.0003,0.2,0.006179682,-13.950910168886185,0.9795466661453247,49.377708854340014,0.2033306360244751,21.43085289001465,0.02861328125
65,590,225,133120,293.5,-8.815289,640,-0.013322048893314786,0.0003,0.2,0.013133965,-13.94516118168831,0.9775260090827942,0.3215770138660446,0.9543347731232643,0.06607533991336823,0.162890625
66,600,225,135168,302.13,-10.156605,650,-0.004442311158345547,0.0003,0.2,0.0035818159,-13.928651022911072,0.9769375920295715,75.47055257335305,0.534664124250412,15.45997428894043,0.017919921875
67,609,225,137216,300.88,-11.108855,660,-0.003059542622213485,0.0003,0.2,0.004657956,-13.925737175345422,0.9774545431137085,36.869733329117295,0.5098541080951691,3.9781651496887207,0.01943359375
68,618,225,139264,310.0,-11.616625,670,-0.0076474385932669975,0.0003,0.2,0.008642013,-13.921803057193756,0.9758586883544922,16.406730583123863,0.5321927964687347,5.162667751312256,0.078857421875
69,627,225,141312,318.73,-12.507185,680,-0.008466961418889696,0.0003,0.2,0.015974231,-13.913809409737587,0.9753942489624023,0.5214985217433423,0.795070469379425,0.015827536582946777,0.1572265625
70,637,224,143360,312.66,-12.362297,690,-0.008041400976799196,0.0003,0.2,0.010440889,-13.89558587372303,0.9747895002365112,5.8122411602642385,0.7273078560829163,0.19460296630859375,0.114306640625
71,646,225,145408,324.31,-13.146756,700,-0.014207694998185616,0.0003,0.2,0.01799433,-13.891382411122322,0.9732152223587036,0.15536869529169053,0.8371128886938095,0.025289861485362053,0.200537109375
72,655,225,147456,337.71,-14.015733,710,-0.006044162383477669,0.0003,0.2,0.010178458,-13.907988226413726,0.9793704748153687,3.3869854367803782,0.6974102854728699,0.5168598294258118,0.1244140625
73,664,225,149504,333.13,-15.378496,720,-0.007399471230746713,0.0003,0.2,0.016163886,-13.934576073288918,0.9774978756904602,0.2168826688401168,0.9019115790724754,0.014545684680342674,0.178369140625
74,673,225,151552,326.66,-14.424003,730,-0.011745130844064988,0.0003,0.2,0.014888633,-13.947996908426285,0.9818646311759949,3.1420258133206516,0.7208996713161469,5.231231212615967,0.146533203125
75,682,225,153600,325.98,-15.176186,740,-0.006975697603775188,0.0003,0.2,0.009736547,-13.97507935166359,0.982003390789032,34.13859789981507,0.11842995882034302,0.2825515568256378,0.105810546875
76,691,225,155648,326.39,-14.335108,750,-0.006539279081334825,0.0003,0.2,0.007668942,-13.96407113969326,0.9796322584152222,39.2592833340168,0.2539110779762268,9.32551097869873,0.068798828125
77,700,225,157696,328.0,-14.82972,760,-0.008056246736668982,0.0003,0.2,0.011575075,-13.954010689258576,0.9806584119796753,34.81807057261467,0.25972050428390503,0.23771913349628448,0.12265625
78,709,225,159744,331.3,-14.133248,770,-0.005032319611200364,0.0003,0.2,0.00732016,-13.941347566246986,0.9766804575920105,44.40362833216786,0.2547726035118103,3.2274742126464844,0.05888671875
79,718,225,161792,321.98,-15.128101,780,-0.008095604136906331,0.0003,0.2,0.010553943,-13.91880529820919,0.976636528968811,39.055714796623214,0.16238516569137573,8.572260856628418,0.087060546875
80,727,225,163840,327.75,-13.334063,790,-0.006802583719945687,0.0003,0.2,0.0113906115,-13.919021171331405,0.9761419296264648,40.94772382378578,0.26003533601760864,1.949214220046997,0.102294921875
81,737,224,165888,328.9,-14.773947,800,-0.004325615839479724,0.0003,0.2,0.010330088,-13.905066928267479,0.9739912748336792,58.4191916462034,0.24137580394744873,2.826706886291504,0.085546875
82,746,224,167936,319.77,-12.892673,810,-0.005890387138788355,0.0003,0.2,0.00744131,-13.879798731207847,0.9712082743644714,84.50403828769922,0.05101907253265381,147.2313995361328,0.031298828125
83,755,224,169984,325.96,-13.134075,820,-0.008796215656911955,0.0003,0.2,0.012456444,-13.855461105704308,0.9696400761604309,72.0418596200645,0.36032575368881226,122.02469635009766,0.078759765625
84,765,224,172032,318.38,-11.016265,830,-0.006477163967792876,0.0003,0.2,0.019016784,-13.870720794796943,0.9746789932250977,2.6361027075443415,0.7586536854505539,0.0004905462265014648,0.192529296875
85,775,224,174080,318.06,-10.255442,840,-0.004490123370487709,0.0003,0.2,0.015809536,-13.888295873999596,0.9736618995666504,32.02966379346326,0.3781147003173828,0.7447975277900696,0.133251953125
86,784,224,176128,313.97,-7.048394,850,-0.009441794535086956,0.0003,0.2,0.018333536,-13.87958545088768,0.9735414385795593,0.20453398686368018,0.8117751330137253,0.0036155376583337784,0.210498046875
87,793,224,178176,303.68,-7.387636,860,-0.0032853446224180515,0.0003,0.2,0.0052956706,-13.869908559322358,0.9730237722396851,77.88650959134102,0.25094032287597656,30.11446189880371,0.054345703125
88,802,224,180224,310.09,-6.4584217,870,-0.00796792965993518,0.0003,0.2,0.010221937,-13.864676997065544,0.9727586507797241,10.603946780692786,0.36969006061553955,0.2403174787759781,0.0701171875
89,811,224,182272,320.11,-7.602694,880,-0.005434611140299239,0.0003,0.2,0.009532433,-13.856251189112664,0.9716464877128601,31.339468489401042,0.41663098335266113,0.8791825771331787,0.076416015625
90,820,224,184320,326.15,-10.703461,890,-0.00998678630203358,0.0003,0.2,0.012960429,-13.856941071152686,0.9735034704208374,4.5136213193647565,0.44875049591064453,2.1497504711151123,0.118212890625
91,829,224,186368,322.8,-10.233646,900,-0.010618542293377687,0.0003,0.2,0.010401555,-13.871093079447746,0.9739943742752075,6.77318290984258,0.6883395910263062,0.26545199751853943,0.10927734375
92,838,224,188416,321.44,-8.314115,910,-0.005621976611291757,0.0003,0.2,0.008707408,-13.867344415187835,0.9720790982246399,38.70528570450843,0.48043233156204224,62.46266174316406,0.059423828125
93,847,224,190464,306.24,-8.173469,920,-0.005464867072441848,0.0003,0.2,0.011387263,-13.854987061023712,0.972093403339386,32.22994353147224,0.509700208902359,27.52688217163086,0.101708984375
94,856,224,192512,305.82,-9.332778,930,-0.007900842780509265,0.0003,0.2,0.013417143,-13.840590900182724,0.968411922454834,24.58301517162472,0.4344509243965149,0.6887101531028748,0.14052734375
95,866,224,194560,305.41,-11.335834,940,-0.0066632877715164796,0.0003,0.2,0.008293899,-13.804907876253129,0.9665325880050659,34.919623690098526,0.5300973057746887,4.135794639587402,0.0791015625
96,875,224,196608,311.69,-12.430054,950,-0.005219759789179079,0.0003,0.2,0.011424512,-13.77786818444729,0.9639310836791992,2.9472519665025176,0.6815889477729797,0.14083509147167206,0.133984375
97,884,224,198656,299.0,-15.120191,960,-0.006988120664027519,0.0003,0.2,0.01634347,-13.753429824113846,0.9610000848770142,0.38756976585136726,0.8369871526956558,0.016204917803406715,0.213330078125
98,893,224,200704,292.92,-14.008467,970,-0.007663042168860557,0.0003,0.2,0.011926064,-13.747292730212212,0.9629741907119751,3.7060231713112444,0.8304985463619232,1.4813793897628784,0.114306640625
