time/total_timesteps,time/fps,time/time_elapsed,time/iterations,train/n_updates,train/clip_fraction,train/entropy_loss,train/loss,train/clip_range,rollout/ep_len_mean,train/approx_kl,train/policy_gradient_loss,train/learning_rate,train/std,train/value_loss,train/explained_variance,rollout/ep_rew_mean
59904,218,274,234,7240,0.18359375,-13.996140122413635,0.14718830585479736,0.2,254.42,0.012342662,-0.02483472104649991,0.0003,0.9930068850517273,1.177254632115364,0.8658328950405121,15.478972
60160,218,275,235,7250,0.250390625,-13.989093327522278,0.138898104429245,0.2,255.05,0.016974322,-0.03012332522775978,0.0003,0.9932882189750671,1.0794505536556245,0.8938619196414948,15.534813
60416,218,276,236,7260,0.212109375,-13.991986656188965,0.2928391695022583,0.2,255.2,0.014123706,-0.02638685321435332,0.0003,0.9939570426940918,1.0535193346440792,0.8383468687534332,15.601147
60672,218,278,237,7270,0.231640625,-13.99528911113739,0.3259454369544983,0.2,255.2,0.018580878,-0.029322444181889295,0.0003,0.9955278635025024,0.7694094710052013,0.8499484062194824,15.601147
60928,218,279,238,7280,0.21796875,-13.99750051498413,-0.034252580255270004,0.2,255.88,0.017888721,-0.023482697503641247,0.0003,0.9935213923454285,0.09324285085313022,0.9305609613656998,15.774575
61184,218,280,239,7290,0.144140625,-13.970189380645753,0.3513597249984741,0.2,256.02,0.012143643,-0.016639394650701432,0.0003,0.991418719291687,0.8691512476652861,0.8726963251829147,15.754346
61440,218,281,240,7300,0.07578125,-13.96009874343872,0.3622802793979645,0.2,256.81,0.009516915,-0.015053429850377142,0.0003,0.9920763969421387,0.9333947625011205,0.7446800768375397,15.895252
61696,218,282,241,7310,0.10546875,-13.970065879821778,0.24338644742965698,0.2,256.81,0.019070828,-0.023383207066217437,0.0003,0.9919098615646362,0.7478720936924219,0.9141139760613441,15.895252
61952,218,283,242,7320,0.234765625,-13.964415550231934,-0.019565727561712265,0.2,257.04,0.017017368,-0.029317416436970233,0.0003,0.9900586009025574,0.083493562345393,-0.34359705448150635,15.963451
62208,218,284,243,7330,0.12578125,-13.947827410697936,0.26215940713882446,0.2,257.06,0.018734403,-0.019061283487826586,0.0003,0.9892838597297668,0.7319982517510653,0.8023435473442078,15.978965
62464,218,286,244,7340,0.175390625,-13.941460776329041,0.22294193506240845,0.2,255.96,0.021184737,-0.022653891125810333,0.0003,0.9885448217391968,0.46898452257737516,0.9376491755247116,15.831155
62720,218,287,245,7350,0.177734375,-13.947583293914795,3.5045831203460693,0.2,256.83,0.01402098,-0.01438566978322342,0.0003,0.9913890957832336,5.378513123095035,-0.059627532958984375,15.970022
62976,218,288,246,7360,0.12109375,-13.9726238489151,0.0342269092798233,0.2,259.68,0.011544881,-0.013674804742913693,0.0003,0.9928146600723267,0.3051399003714323,0.9586764648556709,16.551182
63232,218,289,247,7370,0.15390625,-13.985801911354065,0.05813955143094063,0.2,259.68,0.016644834,-0.024533229903317987,0.0003,0.9959561228752136,0.3222321543842554,0.9288626834750175,16.551182
63488,218,290,248,7380,0.177734375,-14.016534161567687,-0.03816258907318115,0.2,257.28,0.0139707,-0.02447832180187106,0.0003,0.9976398348808289,0.0963838535360992,0.9332815110683441,17.632849
63744,218,291,249,7390,0.02421875,-14.02487666606903,91.84625244140625,0.2,257.65,0.0072358055,-0.010778029845096172,0.0003,0.9979632496833801,296.85585737228394,0.08361893892288208,17.7458
64000,218,293,250,7400,0.119921875,-14.028288722038269,0.22990001738071442,0.2,260.78,0.013642453,-0.020179798919707538,0.0003,0.9989479184150696,0.7059315122663975,0.9615490101277828,16.90554
64256,218,294,251,7410,0.123046875,-14.044899129867554,0.1416737288236618,0.2,260.78,0.011882803,-0.015475140686612576,0.0003,1.0009742975234985,0.77758162394166,0.9424914382398129,16.90554
64512,218,295,252,7420,0.26484375,-14.065563988685607,-0.0025144368410110474,0.2,259.7,0.01836916,-0.028071889467537404,0.0003,1.0020009279251099,0.04284211960621178,0.8705722242593765,16.8676
64768,218,296,253,7430,0.076171875,-14.07092089653015,2.4778144359588623,0.2,258.86,0.01395258,-0.013268314651213586,0.0003,1.002018690109253,6.844376400113106,0.5506249666213989,16.853027
65024,218,297,254,7440,0.205859375,-14.076705527305602,2.8233847618103027,0.2,258.86,0.02019267,-0.017849757266230882,0.0003,1.002776861190796,4.608537930250168,0.03277301788330078,16.853027
65280,218,298,255,7450,0.19375,-14.075209617614746,-0.011364694684743881,0.2,252.4,0.017226484,-0.027475566463544966,0.0003,1.0007251501083374,0.18387449700385333,0.9660999737679958,16.630756
65536,218,299,256,7460,0.086328125,-14.054400658607483,2.006441116333008,0.2,250.21,0.0116875805,-0.012757126241922379,0.0003,1.0004303455352783,10.052075326442719,0.1251136064529419,16.45861
65792,218,301,257,7470,0.277734375,-14.066242003440857,0.8758435845375061,0.2,250.32,0.020337764,-0.028128704358823597,0.0003,1.003004550933838,2.467847838997841,-0.1701580286026001,16.507427
66048,218,302,258,7480,0.124609375,-14.078578662872314,0.04052438586950302,0.2,250.32,0.011974379,-0.01867082582321018,0.0003,1.0030021667480469,0.8491793725639581,0.8470686674118042,16.507427
66304,218,303,259,7490,0.103125,-14.073102879524232,0.011266479268670082,0.2,250.43,0.012697616,-0.013035109755583108,0.0003,1.0036765336990356,0.28049712888896466,0.9661765061318874,16.591894
66560,218,304,260,7500,0.21796875,-14.086788988113403,0.044136762619018555,0.2,248.76,0.020238154,-0.03059944787528366,0.0003,1.005965232849121,0.38442273139953614,0.9464324451982975,15.43461
66816,218,305,261,7510,0.101953125,-14.109385085105895,2.269602060317993,0.2,239.97,0.01066469,-0.016571789246518163,0.0003,1.0069698095321655,6.807333570718765,0.4002910852432251,14.558868
67072,218,306,262,7520,0.13046875,-14.116000699996949,3.0468194484710693,0.2,234.55,0.016066045,-0.017623110301792623,0.0003,1.0076777935028076,6.8378299355506895,-0.01904916763305664,14.251029
67328,218,308,263,7530,0.178125,-14.125108671188354,1.3801252841949463,0.2,231.75,0.022252422,-0.020389049174264075,0.0003,1.0085452795028687,4.5580445528030396,-0.03865528106689453,14.0117
67584,218,309,264,7540,0.20859375,-14.131667065620423,0.9315412640571594,0.2,232.39,0.023127448,-0.022268603974953293,0.0003,1.0090951919555664,1.8249736338853837,0.7195436358451843,12.933231
